2014-05-25 00:22:21,578 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -8, 5
2014-05-25 00:22:21,586 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -8, 5
2014-05-25 00:22:21,586 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -8, 6
2014-05-25 00:22:21,609 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -8, 4
2014-05-25 00:22:21,609 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -8, 7
2014-05-25 00:22:21,615 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -8, 2
2014-05-25 00:22:21,616 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -8, 8
2014-05-25 00:22:21,619 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -8, 6
2014-05-25 00:22:21,619 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -8, 9
2014-05-25 00:22:21,638 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -8, 8
2014-05-25 00:22:21,639 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -8, 10
2014-05-25 00:22:21,639 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -8, 7
2014-05-25 00:22:21,639 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -7, -10
2014-05-25 00:22:21,652 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -8, -1
